YEAR,PLAYER,TEAM,SALARY
2000,Shaquille O'Neal,Lakers,17142000
2000,Kevin Garnett,Timberwolves,16806000
2000,Alonzo Mourning,Heat,15004000
2000,Juwan Howard,Wizards,15000000
2000,Scottie Pippen,Blazers,14795000
2000,Karl Malone,Jazz,14000000
2000,Larry Johnson,Knicks,11910000
2000,Gary Payton,SuperSonics,11020000
2000,Rasheed Wallace,Blazers,10800000
2000,Shawn Kemp,Cavaliers,10780000
2000,Damon Stoudamire,Blazers,10125000
2000,Antonio McDyess,Nuggets,9900000
2000,Ray Allen,Bucks,9000000
2000,Antoine Walker,Celtics,9000000
2000,Stephon Marbury,Nets,9000000
2000,Vlade Divac,Kings,8837000
2000,Bryant Reeves,Grizzlies,8666000
2000,Tom Gugliotta,Suns,8558000
2000,Nick Van Exel,Nuggets,8354000
2000,Elden Campbell,Hornets,7975000
2000,Terrell Brandon,Timberwolves,7400000
2000,Derrick Coleman,Hornets,7370000
2000,Glenn Robinson,Bucks,7250000
2000,Steve Smith,Blazers,7200000
2000,Kerry Kittles,Nets,7166000
2000,Chris Dudley,Knicks,7100000
2000,Theo Ratliff,76ers,7031000
2000,Matt Geiger,76ers,6889000
2000,Jason Kidd,Suns,6858000
2000,Kenny Anderson,Celtics,6680000
2000,Tyrone Hill,76ers,6422000
2000,Clifford Robinson,Suns,6125000
2000,Jamal Mashburn,Heat,5600000
2000,Steve Nash,Mavericks,5500000
2000,Alan Henderson,Hawks,5318000
2000,Donyell Marshall,Warriors,5250000
2000,Marcus Camby,Knicks,5250000
2000,Greg Ostertag,Jazz,5200000
2000,Luc Longley,Suns,5175000
2000,P.J. Brown,Heat,5124000
2000,Jermaine O'Neal,Blazers,5075000
2000,Erick Dampier,Warriors,4988000
2000,Wesley Person,Cavaliers,4900000
2000,Isaac Austin,Wizards,4819000
2000,Loy Vaught,Pistons,4810000
2000,Derrick McKey,Pacers,4800000
2000,Robert Horry,Lakers,4800000
2000,Jim McIlvaine,Nets,4800000
2000,Jerry Stackhouse,Pistons,4781000
2000,Charlie Ward,Knicks,4540000
2000,Dale Davis,Pacers,4490000
2000,Lorenzen Wright,Hawks,4400000
2000,Mookie Blaylock,Warriors,4200000
2000,Chris Mills,Warriors,4200000
2000,Chris Childs,Knicks,4160000
2000,Darrell Armstrong,Magic,4125000
2000,Bryon Russell,Jazz,4000000
2000,Brent Barry,SuperSonics,3960000
2000,Jason Caffey,Warriors,3937000
2000,Vitaly Potapenko,Celtics,3810000
2000,Bob Sura,Cavaliers,3760000
2000,Walt Williams,Rockets,3750000
2000,Scott Williams,Bucks,3750000
2000,Sam Cassell,Bucks,3500000
2000,Michael Olowokandi,Clippers,3456000
2000,Elton Brand,Bulls,3375000
2000,Eric Williams,Celtics,3336000
2000,Travis Best,Pacers,3250000
2000,Michael Stewart,Raptors,3200000
2000,Derek Strong,Magic,3159000
2000,Mike Bibby,Grizzlies,3092000
2000,Rick Fox,Lakers,3033000
2000,Steve Francis,Rockets,3020000
2000,Derek Fisher,Lakers,3000000
2000,Eric Snow,76ers,3000000
2000,Ervin Johnson,Bucks,2951000
2000,Brent Price,Grizzlies,2944000
2000,Travis Knight,Lakers,2800000
2000,Raef LaFrentz,Nuggets,2777000
2000,Tracy Murray,Wizards,2720000
2000,Tyrone Nesby,Clippers,2716000
2000,Baron Davis,Hornets,2712000
2000,Vonteego Cummings,Warriors,2600000
2000,David Wesley,Hornets,2520000
2000,Dean Garrett,Timberwolves,2520000
2000,Antawn Jamison,Warriors,2503000
2000,Walter McCarty,Celtics,2500000
2000,Anthony Peeler,Timberwolves,2495000
2000,Lamar Odom,Clippers,2445000
2000,Cedric E. Henderson,Cavaliers,2400000
2000,Lawrence Funderburke,Kings,2400000
2000,Lindsey Hunter,Pistons,2350000
2000,Malik Rose,Spurs,2285000
2000,Vince Carter,Raptors,2267000
2000,Jonathan Bender,Pacers,2214000
2000,Dell Curry,Raptors,2100000
2000,Robert Traylor,Bucks,2059000
2000,Othella Harrington,Grizzlies,2025000
2000,Wally Szczerbiak,Timberwolves,2011000
2000,Terry Porter,Spurs,2000000
2000,Rodney Rogers,Suns,2000000
2000,Jamie Feick,Nets,2000000
2000,Eric Montross,Pistons,2000000
2000,Chris Crawford,Hawks,2000000
2000,Steve Kerr,Spurs,1968000
2000,Vinny Del Negro,Bucks,1925000
2000,Sean Rooks,Mavericks,1920000
2000,Lucious Harris,Nets,1920000
2000,Jason Williams,Kings,1879000
2000,Richard Hamilton,Wizards,1836000
2000,Larry Hughes,76ers,1722000
2000,Andre Miller,Cavaliers,1682000
2000,Dirk Nowitzki,Mavericks,1583000
2000,Shawn Marion,Suns,1546000
2000,Paul Pierce,Celtics,1503000
2000,Jason Terry,Hawks,1468000
2000,Bonzi Wells,Blazers,1428000
2000,Trajan Langdon,Cavaliers,1394000
2000,Aleksandar Radojevic,Raptors,1325000
2000,Keon Clark,Nuggets,1289000
2000,Corey Maggette,Magic,1259000
2000,Michael Dickerson,Grizzlies,1224000
2000,Will Avery,Timberwolves,1196000
2000,Matt Harpring,Magic,1163000
2000,Eldridge Recasner,Hornets,1100000
2000,Metta World Peace,Bulls,1079000
2000,Rasho Nesterovic,Timberwolves,1050000
2000,Cal Bowdler,Hawks,1025000
2000,James Posey,Nuggets,974000
2000,Pat Garrity,Magic,952000
2000,Quincy Lewis,Jazz,930000
2000,Roshown McLeod,Hawks,914000
2000,Dion Glover,Hawks,893000
2000,Ricky Davis,Hornets,878000
2000,Greg Foster,SuperSonics,857000
2000,Jeff Foster,Pacers,857000
2000,Brian Skinner,Clippers,843000
2000,Kenny Thomas,Rockets,823000
2000,Devean George,Lakers,790000
2000,Al Harrington,Pacers,745000
2000,Tim James,Heat,728000
2000,Jumaine Jones,76ers,684000
2000,Scott Padgett,Jazz,679000
2000,Rafer Alston,Bucks,301000
2001,Kevin Garnett,Timberwolves,19600000
2001,Shaquille O'Neal,Lakers,19285000
2001,Alonzo Mourning,Heat,16879000
2001,Juwan Howard,Wizards,16875000
2001,Hakeem Olajuwon,Rockets,16685000
2001,Karl Malone,Jazz,15750000
2001,Dikembe Mutombo,76ers,14422000
2001,Patrick Ewing,SuperSonics,14000000
2001,David Robinson,Spurs,13196000
2001,Scottie Pippen,Blazers,13151000
2001,Rasheed Wallace,Blazers,12600000
2001,Larry Johnson,Knicks,12485000
2001,Gary Payton,SuperSonics,12200000
2001,Tim Hardaway,Heat,12000000
2001,Chris Webber,Kings,12000000
2001,Shawn Kemp,Blazers,11720000
2001,Damon Stoudamire,Blazers,11250000
2001,John Stockton,Jazz,11000000
2001,Antonio McDyess,Nuggets,10800000
2001,Reggie Miller,Pacers,10666000
2001,Arvydas Sabonis,Blazers,10636000
2001,Penny Hardaway,Suns,10130000
2001,Zydrunas Ilgauskas,Cavaliers,10130000
2001,Stephon Marbury,Nets,10130000
2001,Ray Allen,Bucks,10125000
2001,Vin Baker,SuperSonics,10125000
2001,Antoine Walker,Celtics,10125000
2001,Kobe Bryant,Lakers,10125000
2001,Bryant Reeves,Grizzlies,10110000
2001,Tim Duncan,Spurs,9658000
2001,Tracy McGrady,Magic,9658000
2001,Grant Hill,Magic,9658000
2001,Vlade Divac,Kings,9641000
2001,Tom Gugliotta,Suns,9336000
2001,Allan Houston,Knicks,9000000
2001,Keith Van Horn,Nets,9000000
2001,Eddie Jones,Heat,8960000
2001,Brian Grant,Heat,8897000
2001,Tim Thomas,Bucks,8507000
2001,Michael Finley,Mavericks,8400000
2001,Shawn Bradley,Mavericks,8370000
2001,Terrell Brandon,Timberwolves,8325000
2001,Nick Van Exel,Nuggets,8184000
2001,Glenn Robinson,Bucks,8120000
2001,Steve Smith,Blazers,8100000
2001,Elden Campbell,Hornets,8050000
2001,Derrick Coleman,Hornets,8040000
2001,Avery Johnson,Spurs,8000000
2001,Horace Grant,Lakers,7843000
2001,Theo Ratliff,76ers,7800000
2001,Jason Kidd,Suns,7630000
2001,Glen Rice,Knicks,7578000
2001,Kenny Anderson,Celtics,7520000
2001,Matt Geiger,76ers,7515000
2001,Tyrone Hill,76ers,7415000
2001,Toni Kukoc,76ers,7167000
2001,Clifford Robinson,Suns,6890000
2001,Christian Laettner,Wizards,6625000
2001,Chris Dudley,Suns,6200000
2001,Jamal Mashburn,Hornets,6200000
2001,Dale Davis,Blazers,6175000
2001,Alan Henderson,Hawks,5909000
2001,P.J. Brown,Hornets,5764000
2001,Luc Longley,Knicks,5750000
2001,Marcus Camby,Knicks,5750000
2001,Jermaine O'Neal,Pacers,5700000
2001,Donyell Marshall,Jazz,5630000
2001,Bryant Stith,Celtics,5620000
2001,Erick Dampier,Warriors,5611000
2001,Wesley Person,Cavaliers,5600000
2001,Anthony Mason,Heat,5553000
2001,Ron Mercer,Bulls,5515000
2001,Isaac Austin,Grizzlies,5500000
2001,Antonio Davis,Raptors,5500000
2001,Steve Nash,Mavericks,5500000
2001,Kelvin Cato,Rockets,5400000
2001,Derrick McKey,Pacers,5400000
2001,Jim McIlvaine,Nets,5400000
2001,Sean Elliott,Spurs,5333000
2001,Robert Horry,Lakers,5300000
2001,Austin Croshere,Pacers,5298000
2001,Greg Ostertag,Jazz,5200000
2001,Jerry Stackhouse,Pistons,5000000
2001,Charlie Ward,Knicks,5000000
2001,Lorenzen Wright,Hawks,4950000
2001,Loy Vaught,Wizards,4812000
2001,Mookie Blaylock,Warriors,4800000
2001,Chris Mills,Warriors,4800000
2001,Chris Childs,Raptors,4680000
2001,Bryon Russell,Jazz,4570000
2001,Bo Outlaw,Magic,4500000
2001,Tariq Abdul-Wahad,Nuggets,4500000
2001,Bob Sura,Warriors,4386000
2001,Jason Caffey,Bucks,4375000
2001,Robert Pack,Nuggets,4320000
2001,Brent Barry,SuperSonics,4320000
2001,Vitaly Potapenko,Celtics,4286000
2001,Brevin Knight,Cavaliers,4250000
2001,Howard Eisley,Mavericks,4250000
2001,Scott Williams,Bucks,4200000
2001,Duane Causwell,Heat,4000000
2001,Brad Miller,Bulls,4000000
2001,Ben Wallace,Pistons,4000000
2001,Dan Majerle,Heat,4000000
2001,Corliss Williamson,Raptors,3997000
2001,Cedric Ceballos,Heat,3937000
2001,Cuttino Mobley,Rockets,3922000
2001,Jahidi White,Wizards,3922000
2001,Scot Pollard,Kings,3922000
2001,Rashard Lewis,SuperSonics,3920000
2001,Eric Williams,Celtics,3892000
2001,Voshon Lenard,Nuggets,3780000
2001,Dana Barros,Pistons,3700000
2001,Michael Olowokandi,Clippers,3697000
2001,Kurt Thomas,Knicks,3680000
2001,Elton Brand,Bulls,3629000
2001,Adonal Foyle,Warriors,3578000
2001,Mark Jackson,Raptors,3565000
2001,Kenyon Martin,Nets,3536000
2001,Michael Stewart,Raptors,3520000
2001,Derek Strong,Clippers,3510000
2001,Greg Anthony,Blazers,3500000
2001,Sam Cassell,Bucks,3500000
2001,Rick Fox,Lakers,3412000
2001,Adam Keefe,Warriors,3390000
2001,Lamond Murray,Cavaliers,3375000
2001,Eric Snow,76ers,3375000
2001,Ervin Johnson,Bucks,3310000
2001,Mike Bibby,Grizzlies,3308000
2001,Jud Buechler,Pistons,3259000
2001,Travis Best,Pacers,3250000
2001,Steve Francis,Rockets,3246000
2001,Tony Battie,Celtics,3200000
2001,Travis Knight,Knicks,3200000
2001,Stromile Swift,Grizzlies,3164000
2001,Doug Christie,Kings,3132000
2001,Darrell Armstrong,Magic,3100000
2001,Tracy Murray,Raptors,3060000
2001,Chucky Atkins,Pistons,3000000
2001,Derek Fisher,Lakers,3000000
2001,Eric Piatkowski,Clippers,3000000
2001,Tyrone Nesby,Wizards,2990000
2001,Raef LaFrentz,Nuggets,2970000
2001,Baron Davis,Hornets,2916000
2001,David Wesley,Hornets,2880000
2001,Brent Price,Grizzlies,2880000
2001,Dean Garrett,Timberwolves,2880000
2001,Mikki Moore,Pistons,2848000
2001,Darius Miles,Clippers,2841000
2001,Popeye Jones,Wizards,2815000
2001,Antonio Daniels,Spurs,2814000
2001,Walter McCarty,Celtics,2812000
2001,Jerome Williams,Raptors,2750000
2001,Anthony Peeler,Timberwolves,2737000
2001,Jon Barry,Kings,2727000
2001,Cedric E. Henderson,Cavaliers,2700000
2001,Lawrence Funderburke,Kings,2700000
2001,Antawn Jamison,Warriors,2678000
2001,Lindsey Hunter,Bucks,2650000
2001,Lamar Odom,Clippers,2628000
2001,Malik Rose,Spurs,2570000
2001,Marcus Fizer,Bulls,2562000
2001,Dragan Tarlac,Bulls,2500000
2001,Vince Carter,Raptors,2425000
2001,Jonathan Bender,Pacers,2380000
2001,Chris Whitney,Wizards,2370000
2001,Mike Miller,Magic,2320000
2001,A.C. Green,Heat,2250000
2001,Bimbo Coles,Cavaliers,2250000
2001,Randy Brown,Celtics,2250000
2001,Othella Harrington,Grizzlies,2250000
2001,Derek Anderson,Spurs,2250000
2001,Joe Smith,Pistons,2250000
2001,Chris Crawford,Hawks,2250000
2001,Eric Montross,Raptors,2240000
2001,Robert Traylor,Cavaliers,2203000
2001,John Wallace,Pistons,2200000
2001,Terry Porter,Spurs,2200000
2001,Shandon Anderson,Rockets,2200000
2001,Rodney Rogers,Suns,2200000
2001,Steve Kerr,Spurs,2200000
2001,Ron Harper,Lakers,2200000
2001,Otis Thorpe,Hornets,2200000
2001,Grant Long,Grizzlies,2200000
2001,Wally Szczerbiak,Timberwolves,2162000
2001,Sean Rooks,Clippers,2160000
2001,Lucious Harris,Nets,2160000
2001,DerMarr Johnson,Hawks,2107000
2001,Alvin Williams,Raptors,2100000
2001,Vinny Del Negro,Suns,2100000
2001,Sam Mitchell,Timberwolves,2100000
2001,Clarence Weatherspoon,Cavaliers,2100000
2001,Cherokee Parks,Wizards,2100000
2001,Jason Williams,Kings,2011000
2001,Dell Curry,Raptors,2000000
2001,Richard Hamilton,Wizards,1973000
2001,Chris Mihm,Cavaliers,1923000
2001,Andrew DeClercq,Magic,1920000
2001,Larry Hughes,Warriors,1842000
2001,Aaron McKie,76ers,1820000
2001,Andre Miller,Cavaliers,1808000
2001,Greg Foster,Lakers,1764000
2001,Muggsy Bogues,Raptors,1740000
2001,Darvin Ham,Bucks,1700000
