year,team,percent_of_foreign
2001,76ers,26.7
2001,Blazers,9.1
2001,Bulls,18.2
2001,Cavaliers,9.1
2001,Celtics,21.4
2001,Clippers,9.1
2001,Hawks,25.0
2001,Hornets,7.7
2001,Kings,30.0
2001,Knicks,11.1
2001,Lakers,9.1
2001,Magic,9.1
2001,Mavericks,50.0
2001,Nuggets,10.0
2001,Pacers,20.0
2001,Raptors,13.3
2001,Rockets,9.1
2001,Spurs,20.0
2001,Suns,18.2
2001,SuperSonics,20.0
2001,Timberwolves,11.1
2001,Warriors,9.1
2001,Wizards,12.5
2002,76ers,20.0
2002,Blazers,7.7
2002,Bulls,11.1
2002,Cavaliers,7.7
2002,Celtics,9.1
2002,Clippers,14.3
2002,Grizzlies,15.4
2002,Hawks,25.0
2002,Heat,16.7
2002,Hornets,16.7
2002,Jazz,20.0
2002,Kings,18.2
2002,Lakers,10.0
2002,Magic,8.3
2002,Mavericks,36.4
2002,Nets,10.0
2002,Nuggets,6.3
2002,Pacers,14.3
2002,Pistons,14.3
2002,Raptors,20.0
2002,Spurs,16.7
2002,Suns,23.1
2002,SuperSonics,28.6
2002,Timberwolves,25.0
2002,Warriors,9.1
2003,76ers,11.1
2003,Bucks,14.3
2003,Bulls,14.3
2003,Cavaliers,37.5
2003,Clippers,11.1
2003,Grizzlies,11.1
2003,Heat,20.0
2003,Hornets,16.7
2003,Jazz,20.0
2003,Kings,18.2
2003,Lakers,11.1
2003,Magic,9.1
2003,Mavericks,44.4
2003,Nets,11.1
2003,Nuggets,12.5
2003,Pacers,8.3
2003,Pistons,9.1
2003,Spurs,30.0
2003,Suns,12.5
2003,SuperSonics,27.3
2003,Timberwolves,16.7
2003,Warriors,11.1
2004,76ers,16.7
2004,Bucks,25.0
2004,Cavaliers,28.6
2004,Clippers,16.7
2004,Grizzlies,22.2
2004,Hornets,14.3
2004,Jazz,25.0
2004,Kings,33.3
2004,Knicks,9.1
2004,Lakers,20.0
2004,Mavericks,33.3
2004,Pacers,14.3
2004,Pistons,14.3
2004,Raptors,9.1
2004,Spurs,42.9
2004,SuperSonics,40.0
2004,Timberwolves,16.7
2004,Warriors,16.7
2005,76ers,25.0
2005,Bobcats,33.3
2005,Cavaliers,50.0
2005,Grizzlies,33.3
2005,Hawks,50.0
2005,Hornets,50.0
2005,Jazz,50.0
2005,Kings,14.3
2005,Magic,20.0
2005,Mavericks,20.0
2005,Raptors,20.0
2005,Rockets,33.3
2005,Spurs,33.3
2005,Suns,25.0
2005,SuperSonics,40.0
2006,76ers,7.7
2006,Bobcats,6.3
2006,Bucks,41.7
2006,Bulls,36.4
2006,Cavaliers,30.8
2006,Clippers,28.6
2006,Grizzlies,14.3
2006,Hawks,18.2
2006,Jazz,33.3
2006,Kings,21.4
2006,Lakers,9.1
2006,Magic,25.0
2006,Mavericks,23.1
2006,Nets,23.1
2006,Nuggets,36.4
2006,Pistons,7.7
2006,Raptors,33.3
2006,Rockets,23.1
2006,Spurs,46.2
2006,Suns,46.2
2006,SuperSonics,16.7
2006,Timberwolves,21.4
2006,Warriors,41.7
2006,Wizards,8.3
2007,76ers,7.1
2007,Blazers,20.0
2007,Bobcats,6.7
2007,Bucks,41.7
2007,Bulls,33.3
2007,Cavaliers,21.4
2007,Celtics,9.1
2007,Clippers,16.7
2007,Grizzlies,16.7
2007,Hawks,15.4
2007,Hornets,7.1
2007,Jazz,45.5
