year,team,foreign_percent,homegames,total_attendence,avg_attendence
2001,76ers,26.7,41,647898,15802
2001,Bulls,18.2,40,847903,21197
2001,Cavaliers,9.1,41,820439,20010
2001,Celtics,21.4,41,763584,18624
2001,Clippers,9.1,40,646830,16170
2001,Hawks,25,41,686688,16748
2001,Hornets,7.7,40,581049,14526
2001,Kings,30,40,502852,12571
2001,Lakers,9.1,41,778877,18997
2001,Magic,9.1,41,698768,17043
2001,Mavericks,50,41,821723,20042
2001,Nuggets,10,41,706165,17223
2001,Pacers,20,41,581472,14182
2001,Raptors,13.3,41,769707,18773
2001,Rockets,9.1,40,699280,17482
2001,Spurs,20,41,749048,18269
2001,Suns,18.2,41,755302,18422
2001,Timberwolves,11.1,41,594743,14505
2001,Warriors,9.1,41,776660,18942
2001,Wizards,12.5,41,681117,16612
2002,76ers,20,41,647898,15802
2002,Bulls,11.1,40,847903,21197
2002,Cavaliers,7.7,41,820439,20010
2002,Celtics,9.1,41,763584,18624
2002,Clippers,14.3,40,646830,16170
2002,Grizzlies,15.4,40,509806,12745
2002,Hawks,25,41,686688,16748
2002,Heat,16.7,40,729178,18229
2002,Hornets,16.7,40,581049,14526
2002,Jazz,20,41,816042,19903
2002,Kings,18.2,40,502852,12571
2002,Lakers,10,41,778877,18997
2002,Magic,8.3,41,698768,17043
2002,Mavericks,36.4,41,821723,20042
2002,Nets,10,41,621062,15147
2002,Nuggets,6.3,41,706165,17223
2002,Pacers,14.3,41,581472,14182
2002,Pistons,14.3,41,896971,21877
2002,Raptors,20,41,769707,18773
2002,Spurs,16.7,41,749048,18269
2002,Suns,23.1,41,755302,18422
2002,Timberwolves,25,41,594743,14505
2002,Warriors,9.1,41,776660,18942
2003,76ers,11.1,41,647898,15802
2003,Bucks,14.3,41,630976,15389
2003,Bulls,14.3,40,847903,21197
2003,Cavaliers,37.5,41,820439,20010
2003,Clippers,11.1,40,646830,16170
2003,Grizzlies,11.1,40,509806,12745
2003,Heat,20,40,729178,18229
2003,Hornets,16.7,40,581049,14526
2003,Jazz,20,41,816042,19903
2003,Kings,18.2,40,502852,12571
2003,Lakers,11.1,41,778877,18997
2003,Magic,9.1,41,698768,17043
2003,Mavericks,44.4,41,821723,20042
2003,Nets,11.1,41,621062,15147
2003,Nuggets,12.5,41,706165,17223
2003,Pacers,8.3,41,581472,14182
2003,Pistons,9.1,41,896971,21877
2003,Spurs,30,41,749048,18269
2003,Suns,12.5,41,755302,18422
2003,Timberwolves,16.7,41,594743,14505
2003,Warriors,11.1,41,776660,18942
2004,76ers,16.7,41,647898,15802
