year,player,games,mpg,ts,ast,turn_over,usg,orr,drr,rebr,per,va,ewa,foreign_player,team,salary,homegames,total_attendence,avg_attendence
2003,Mark Bryant,16,6.3,0.313,12.6,22,5.9,0,25.9,12.6,0.2,-7.9,-0.3,0,76ers,1100000,41,647898,15802
2003,Derrick Coleman,64,27.2,0.525,11.5,12.7,16,10,20.5,15.2,14.69,41.4,1.4,0,76ers,9830000,41,647898,15802
2003,Eric Snow,82,37.9,0.546,31.9,11.4,17.2,3,8.8,5.7,15.61,107,3.6,0,76ers,4125000,41,647898,15802
2003,Kenny Thomas,66,30,0.517,12.8,13.3,18.4,10.9,20.4,15.6,14.4,42.8,1.4,0,76ers,1557000,41,647898,15802
2003,Brian Skinner,77,17.9,0.574,3.9,12.8,13.6,11,19.9,15.6,14.24,28.2,0.9,0,76ers,2148000,41,647898,15802
2003,Aaron McKie,80,29.7,0.497,25,9.8,15.5,3,14.5,8.7,13.52,53.6,1.8,0,76ers,4500000,41,647898,15802
2003,Tyrone Hill,56,24.1,0.457,9.1,15.1,11.5,10.4,22.8,16.5,9.11,-24.1,-0.8,0,76ers,6600000,41,647898,15802
2003,Todd MacCulloch,42,19.3,0.548,6.1,10.7,15.4,9,19.1,14.2,14.12,21.3,0.7,1,76ers,4991000,41,647898,15802
2003,Monty Williams,21,13.1,0.489,19,12.4,17.3,5,14.3,9.6,12.25,3.6,0.1,0,76ers,1400000,41,647898,15802
2003,Anthony Mason,65,32.6,0.524,28.5,10.8,11.3,5,18.1,11.5,11.13,5.3,0.2,0,Bucks,4992000,41,630976,15389
2003,Tim Thomas,80,29.5,0.527,8.2,10.7,20.2,5,14.6,9.7,14.71,56.5,1.9,0,Bucks,10750000,41,630976,15389
2003,Toni Kukoc,63,27,0.551,22.7,12,20.4,5,13.7,9.1,18.35,99.9,3.3,1,Bucks,8050000,41,630976,15389
2003,Sam Cassell,78,34.6,0.565,22.7,8.9,25.2,2,12.4,7.4,23.08,243.4,8.1,0,Bucks,4500000,41,630976,15389
2003,Ervin Johnson,69,17,0.492,11.3,16,6.8,12,17.8,14.7,8.06,-22.2,-0.7,0,Bucks,4030000,41,630976,15389
