YEAR,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2003,Tracy McGrady,75,39.4,0.564,15,7.1,32.6,5,14.6,9.5,31.01,452,15.1
2003,Shaquille O'Neal,67,37.8,0.602,10.7,10.1,27.8,11,21.6,16.5,29.43,356.2,11.9
2003,Chris Crawford,5,7.6,0.726,5.1,10.2,19.8,9,11.5,10.5,27.4,4.8,0.2
2003,Kobe Bryant,82,41.5,0.55,16,9.6,31.1,3,15.3,9.3,27.07,420.6,14
2003,Kevin Garnett,82,40.5,0.553,20.4,9.4,25,9,28.5,18.8,26.46,370.8,12.4
2003,Tim Duncan,81,39.3,0.564,14.1,11.1,25.7,10,27.3,19,26.46,355,11.8
2003,Dirk Nowitzki,80,39,0.581,11.3,7.2,24.8,3,25.1,14,25.94,336,11.2
2003,Steve Nash,82,33.1,0.576,29.1,9.4,24,3,7,4.8,23.51,253.1,8.4
2003,Paul Pierce,79,39.2,0.532,13.6,11.2,30.1,4,17.7,10.6,23.49,300,10
2003,Sam Cassell,78,34.6,0.565,22.7,8.9,25.2,2,12.4,7.4,23.08,243.4,8.1
2003,Jason Kidd,80,37.4,0.526,29.3,12.2,26,4,15.1,9.6,22.62,259.3,8.6
2003,Vince Carter,43,34.2,0.532,13.7,7.1,26.3,4,10.4,7.3,22.48,131.5,4.4
2003,Ray Allen,76,37.9,0.565,16.3,9.7,25.4,3.8,11.8,7.8,22.19,251.1,8.4
2003,Allen Iverson,82,42.5,0.5,15.1,9.5,30.9,2,9.5,5.8,22.14,302.8,10.1
2003,Gary Payton,80,40.1,0.504,26.8,7.6,24.2,2.9,9.4,6.1,21.94,262,8.7
2003,Karl Malone,81,36.2,0.534,17.6,9.8,26.4,5,20.5,13,21.71,223.8,7.5
2003,Chris Webber,67,39.1,0.485,16.8,9.9,28,7,21.1,14.4,21.48,212.9,7.1
2003,Michael Redd,82,28.2,0.59,9.4,6,20.3,5,13.9,9.4,21.33,187.1,6.2
2003,Jermaine O'Neal,77,37.2,0.539,8.5,9.9,23.8,8,22.8,15.6,21.16,206.5,6.9
2003,Steve Francis,81,41,0.541,21.1,12.6,25.2,6,11.5,8.7,21.12,250.6,8.4
