YEAR,PLAYER,SALARY
2000,Shaquille O'Neal,"$17,142,000"
2000,Kevin Garnett,"$16,806,000"
2000,Alonzo Mourning,"$15,004,000"
2000,Juwan Howard,"$15,000,000"
2000,Scottie Pippen,"$14,795,000"
2000,Karl Malone,"$14,000,000"
2000,Larry Johnson,"$11,910,000"
2000,Gary Payton,"$11,020,000"
2000,Rasheed Wallace,"$10,800,000"
2000,Shawn Kemp,"$10,780,000"
2000,Damon Stoudamire,"$10,125,000"
2000,Antonio McDyess,"$9,900,000"
2000,Ray Allen,"$9,000,000"
2000,Antoine Walker,"$9,000,000"
2000,Stephon Marbury,"$9,000,000"
2000,Vlade Divac,"$8,837,000"
2000,Bryant Reeves,"$8,666,000"
2000,Tom Gugliotta,"$8,558,000"
2000,Nick Van Exel,"$8,354,000"
2000,Elden Campbell,"$7,975,000"
2000,Terrell Brandon,"$7,400,000"
2000,Derrick Coleman,"$7,370,000"
2000,Glenn Robinson,"$7,250,000"
2000,Steve Smith,"$7,200,000"
2000,Kerry Kittles,"$7,166,000"
2000,Chris Dudley,"$7,100,000"
2000,Theo Ratliff,"$7,031,000"
2000,Matt Geiger,"$6,889,000"
2000,Jason Kidd,"$6,858,000"
2000,Kenny Anderson,"$6,680,000"
2000,Tyrone Hill,"$6,422,000"
2000,Clifford Robinson,"$6,125,000"
2000,Jamal Mashburn,"$5,600,000"
2000,Steve Nash,"$5,500,000"
2000,Alan Henderson,"$5,318,000"
2000,Donyell Marshall,"$5,250,000"
2000,Marcus Camby,"$5,250,000"
2000,Greg Ostertag,"$5,200,000"
2000,Luc Longley,"$5,175,000"
2000,P.J. Brown,"$5,124,000"
2000,Jermaine O'Neal,"$5,075,000"
2000,Erick Dampier,"$4,988,000"
2000,Wesley Person,"$4,900,000"
2000,Isaac Austin,"$4,819,000"
2000,Loy Vaught,"$4,810,000"
2000,Derrick McKey,"$4,800,000"
2000,Robert Horry,"$4,800,000"
2000,Jim McIlvaine,"$4,800,000"
2000,Jerry Stackhouse,"$4,781,000"
2000,Charlie Ward,"$4,540,000"
2000,Dale Davis,"$4,490,000"
2000,Lorenzen Wright,"$4,400,000"
2000,Mookie Blaylock,"$4,200,000"
2000,Chris Mills,"$4,200,000"
2000,Chris Childs,"$4,160,000"
2000,Darrell Armstrong,"$4,125,000"
2000,Bryon Russell,"$4,000,000"
2000,Brent Barry,"$3,960,000"
2000,Jason Caffey,"$3,937,000"
2000,Vitaly Potapenko,"$3,810,000"
2000,Bob Sura,"$3,760,000"
2000,Walt Williams,"$3,750,000"
2000,Scott Williams,"$3,750,000"
2000,Sam Cassell,"$3,500,000"
2000,Michael Olowokandi,"$3,456,000"
2000,Elton Brand,"$3,375,000"
2000,Eric Williams,"$3,336,000"
2000,Travis Best,"$3,250,000"
2000,Michael Stewart,"$3,200,000"
2000,Derek Strong,"$3,159,000"
2000,Mike Bibby,"$3,092,000"
2000,Rick Fox,"$3,033,000"
2000,Steve Francis,"$3,020,000"
2000,Derek Fisher,"$3,000,000"
2000,Eric Snow,"$3,000,000"
2000,Ervin Johnson,"$2,951,000"
2000,Brent Price,"$2,944,000"
2000,Travis Knight,"$2,800,000"
2000,Raef LaFrentz,"$2,777,000"
2000,Tracy Murray,"$2,720,000"
2000,Tyrone Nesby,"$2,716,000"
2000,Baron Davis,"$2,712,000"
2000,Vonteego Cummings,"$2,600,000"
2000,David Wesley,"$2,520,000"
2000,Dean Garrett,"$2,520,000"
2000,Antawn Jamison,"$2,503,000"
2000,Walter McCarty,"$2,500,000"
2000,Anthony Peeler,"$2,495,000"
2000,Lamar Odom,"$2,445,000"
2000,Cedric E. Henderson,"$2,400,000"
2000,Lawrence Funderburke,"$2,400,000"
2000,Lindsey Hunter,"$2,350,000"
2000,Malik Rose,"$2,285,000"
2000,Vince Carter,"$2,267,000"
2000,Jonathan Bender,"$2,214,000"
2000,Dell Curry,"$2,100,000"
2000,Robert Traylor,"$2,059,000"
2000,Othella Harrington,"$2,025,000"
2000,Wally Szczerbiak,"$2,011,000"
2000,Terry Porter,"$2,000,000"
2000,Rodney Rogers,"$2,000,000"
2000,Jamie Feick,"$2,000,000"
2000,Eric Montross,"$2,000,000"
2000,Chris Crawford,"$2,000,000"
2000,Steve Kerr,"$1,968,000"
2000,Vinny Del Negro,"$1,925,000"
2000,Sean Rooks,"$1,920,000"
2000,Lucious Harris,"$1,920,000"
2000,Jason Williams,"$1,879,000"
2000,Richard Hamilton,"$1,836,000"
2000,Larry Hughes,"$1,722,000"
2000,Andre Miller,"$1,682,000"
2000,Dirk Nowitzki,"$1,583,000"
2000,Shawn Marion,"$1,546,000"
2000,Paul Pierce,"$1,503,000"
2000,Jason Terry,"$1,468,000"
2000,Bonzi Wells,"$1,428,000"
2000,Trajan Langdon,"$1,394,000"
2000,Aleksandar Radojevic,"$1,325,000"
2000,Keon Clark,"$1,289,000"
2000,Corey Maggette,"$1,259,000"
2000,Michael Dickerson,"$1,224,000"
2000,Will Avery,"$1,196,000"
2000,Matt Harpring,"$1,163,000"
2000,Eldridge Recasner,"$1,100,000"
2000,Metta World Peace,"$1,079,000"
2000,Rasho Nesterovic,"$1,050,000"
2000,Cal Bowdler,"$1,025,000"
2000,James Posey,"$974,000"
2000,Pat Garrity,"$952,000"
2000,Quincy Lewis,"$930,000"
2000,Roshown McLeod,"$914,000"
2000,Dion Glover,"$893,000"
2000,Ricky Davis,"$878,000"
2000,Greg Foster,"$857,000"
2000,Jeff Foster,"$857,000"
2000,Brian Skinner,"$843,000"
2000,Kenny Thomas,"$823,000"
2000,Devean George,"$790,000"
2000,Al Harrington,"$745,000"
2000,Tim James,"$728,000"
2000,Jumaine Jones,"$684,000"
2000,Scott Padgett,"$679,000"
2000,Rafer Alston,"$301,000"
2001,Kevin Garnett,"$19,600,000"
2001,Shaquille O'Neal,"$19,285,000"
2001,Alonzo Mourning,"$16,879,000"
2001,Juwan Howard,"$16,875,000"
2001,Hakeem Olajuwon,"$16,685,000"
2001,Karl Malone,"$15,750,000"
2001,Dikembe Mutombo,"$14,422,000"
2001,Patrick Ewing,"$14,000,000"
2001,David Robinson,"$13,196,000"
2001,Scottie Pippen,"$13,151,000"
2001,Rasheed Wallace,"$12,600,000"
2001,Larry Johnson,"$12,485,000"
2001,Gary Payton,"$12,200,000"
2001,Tim Hardaway,"$12,000,000"
2001,Chris Webber,"$12,000,000"
