YEAR,TEAM,HOMEGAMES,TOTAL,AVG
2001,Pistons,41,896971,21877
2001,Bulls,40,847903,21197
2001,Trail Blazers,41,841499,20524
2001,Mavericks,41,821723,20042
2001,Cavaliers,41,820439,20010
2001,Jazz,41,816042,19903
2001,NY Knicks,41,790801,19287
2001,Lakers,41,778877,18997
2001,Warriors,41,776660,18942
2001,Raptors,41,769707,18773
2001,Thunder,40,747732,18693
2001,Celtics,41,763584,18624
2001,Suns,41,755302,18422
2001,Spurs,41,749048,18269
2001,Heat,40,729178,18229
2001,Rockets,40,699280,17482
2001,Nuggets,41,706165,17223
2001,Magic,41,698768,17043
2001,Pelicans,41,695727,16968
2001,Hawks,41,686688,16748
2001,Wizards,41,681117,16612
2001,Clippers,40,646830,16170
2001,76ers,41,647898,15802
2001,Bucks,41,630976,15389
2001,Nets,41,621062,15147
2001,Hornets,40,581049,14526
2001,Timberwolves,41,594743,14505
2001,Pacers,41,581472,14182
2001,Grizzlies,40,509806,12745
2001,Kings,40,502852,12571
2002,Pistons,41,896971,21877
2002,Bulls,40,847903,21197
2002,Trail Blazers,41,841499,20524
2002,Mavericks,41,821723,20042
2002,Cavaliers,41,820439,20010
2002,Jazz,41,816042,19903
2002,NY Knicks,41,790801,19287
2002,Lakers,41,778877,18997
2002,Warriors,41,776660,18942
2002,Raptors,41,769707,18773
2002,Thunder,40,747732,18693
2002,Celtics,41,763584,18624
2002,Suns,41,755302,18422
2002,Spurs,41,749048,18269
2002,Heat,40,729178,18229
2002,Rockets,40,699280,17482
2002,Nuggets,41,706165,17223
2002,Magic,41,698768,17043
2002,Pelicans,41,695727,16968
2002,Hawks,41,686688,16748
2002,Wizards,41,681117,16612
2002,Clippers,40,646830,16170
2002,76ers,41,647898,15802
2002,Bucks,41,630976,15389
2002,Nets,41,621062,15147
2002,Hornets,40,581049,14526
2002,Timberwolves,41,594743,14505
2002,Pacers,41,581472,14182
2002,Grizzlies,40,509806,12745
2002,Kings,40,502852,12571
2003,Pistons,41,896971,21877
2003,Bulls,40,847903,21197
2003,Trail Blazers,41,841499,20524
2003,Mavericks,41,821723,20042
2003,Cavaliers,41,820439,20010
2003,Jazz,41,816042,19903
2003,NY Knicks,41,790801,19287
2003,Lakers,41,778877,18997
2003,Warriors,41,776660,18942
2003,Raptors,41,769707,18773
2003,Thunder,40,747732,18693
2003,Celtics,41,763584,18624
